RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-08.02080,G017206E68157N,20010820,-9999999,  17.206000000,  68.157000000, 8, 1,         0.132, 1267, 1383, 1341, 11.3, 335,   526, 0, 0, 0, 0, 9, 0,
RGI60-08.02081,G017264E68121N,20010820,-9999999,  17.264000000,  68.121000000, 8, 1,         0.026, 1091, 1190, 1151, 35.1, 329,   152, 0, 0, 0, 0, 9, 0,
RGI60-08.02082,G017289E68126N,20010820,-9999999,  17.289000000,  68.126000000, 8, 1,         0.133, 1174, 1368, 1244, 18.1,  62,   325, 0, 0, 0, 0, 9, 0,
RGI60-08.02083,G017223E68205N,20010820,-9999999,  17.223000000,  68.205000000, 8, 1,         0.062, 1036, 1121, 1081, 10.4, 171,   292, 0, 0, 0, 0, 9, 0,
RGI60-08.02084,G017097E68279N,20010820,-9999999,  17.097000000,  68.279000000, 8, 1,         0.092, 1067, 1300, 1168, 18.2, 305,   756, 0, 0, 0, 0, 9, 0,
RGI60-08.02085,G017218E68154N,20010820,-9999999,  17.218000000,  68.154000000, 8, 1,         0.325, 1377, 1437, 1416,  3.5, 338,   641, 0, 0, 0, 0, 9, 0,
RGI60-08.02086,G017240E68238N,20010820,-9999999,  17.240000000,  68.238000000, 8, 1,         0.453, 1086, 1426, 1359, 17.6, 111,   918, 0, 0, 0, 0, 9, 0,
RGI60-08.02087,G017296E68117N,20010820,-9999999,  17.296000000,  68.117000000, 8, 1,         0.076, 1017, 1097, 1053, 19.1,  77,   257, 0, 0, 0, 0, 9, 0,
RGI60-08.02088,G017198E68152N,20010820,-9999999,  17.198000000,  68.152000000, 8, 1,         0.056, 1243, 1335, 1280, 18.9, 286,   276, 0, 0, 0, 0, 9, 0,
RGI60-08.02089,G017146E68212N,20010820,-9999999,  17.146000000,  68.212000000, 8, 1,         0.769, 1019, 1197, 1124,  8.0, 241,  1320, 0, 0, 0, 0, 9, 0,
RGI60-08.02090,G017142E68258N,20010820,-9999999,  17.142000000,  68.258000000, 8, 1,         0.122, 1352, 1489, 1438, 17.1, 336,   550, 0, 0, 0, 0, 9, 0,
RGI60-08.02091,G017194E68251N,20010820,-9999999,  17.194000000,  68.251000000, 8, 1,         0.193,  771,  965,  828, 15.4,  39,   687, 0, 0, 0, 0, 9, 0,
RGI60-08.02092,G017212E68209N,20010820,-9999999,  17.212000000,  68.209000000, 8, 1,         0.227, 1093, 1240, 1185, 11.6, 140,   555, 0, 0, 0, 0, 9, 0,
RGI60-08.02093,G017217E68242N,20010820,-9999999,  17.217000000,  68.242000000, 8, 1,         0.104, 1528, 1658, 1618, 27.1, 203,   202, 0, 0, 0, 0, 9, 0,
RGI60-08.02094,G017235E68161N,20010820,-9999999,  17.235000000,  68.161000000, 8, 1,         1.619, 1027, 1392, 1207, 11.0, 320,  1923, 0, 0, 0, 0, 9, 0,Meraftesbreen
RGI60-08.02095,G017181E68210N,20010820,-9999999,  17.181000000,  68.210000000, 8, 1,         1.780, 1017, 1254, 1200,  5.0, 226,  1986, 0, 0, 0, 0, 9, 0,
RGI60-08.02096,G017186E68081N,20010820,-9999999,  17.186000000,  68.081000000, 8, 1,         0.103, 1234, 1307, 1271, 10.9,  40,   340, 0, 0, 0, 0, 9, 0,
RGI60-08.02097,G017206E68151N,20010820,-9999999,  17.206000000,  68.151000000, 8, 1,         0.070, 1341, 1395, 1370, 10.1, 281,   261, 0, 0, 0, 0, 9, 0,
RGI60-08.02098,G017159E68073N,20010820,-9999999,  17.159000000,  68.073000000, 8, 1,         0.509, 1158, 1251, 1199,  6.1, 316,  1237, 0, 0, 0, 0, 9, 0,
RGI60-08.02099,G017233E68150N,20010820,-9999999,  17.233000000,  68.150000000, 8, 1,         1.251, 1017, 1437, 1322, 14.8, 110,  1255, 0, 0, 0, 0, 9, 0,
RGI60-08.02100,G017218E68248N,20010820,-9999999,  17.218000000,  68.248000000, 8, 1,         0.145, 1001, 1227, 1103, 24.2, 328,   455, 0, 0, 0, 0, 9, 0,
RGI60-08.02101,G017243E68170N,20010820,-9999999,  17.243000000,  68.170000000, 8, 1,         0.341,  977, 1284, 1160, 20.4,  40,   958, 0, 0, 0, 0, 9, 0,Nordre Meraftesbreen
RGI60-08.02102,G017243E68206N,20010820,-9999999,  17.243000000,  68.206000000, 8, 1,         0.846, 1031, 1199, 1082,  6.6, 150,  1475, 0, 0, 0, 0, 9, 0,
RGI60-08.02103,G017216E68218N,20010820,-9999999,  17.216000000,  68.218000000, 8, 1,        11.442,  835, 1714, 1226,  7.2, 117,  6015, 0, 0, 0, 0, 9, 0,
RGI60-08.02104,G017139E68243N,20010820,-9999999,  17.139000000,  68.243000000, 8, 1,         3.788,  973, 1707, 1270, 11.0, 236,  2830, 0, 0, 0, 0, 9, 0,
RGI60-08.02105,G017212E68245N,20010820,-9999999,  17.212000000,  68.245000000, 8, 1,         0.444, 1033, 1628, 1326, 43.3, 347,   684, 0, 0, 0, 0, 9, 0,Reintindbreen
RGI60-08.02106,G017181E68251N,20010820,-9999999,  17.181000000,  68.251000000, 8, 1,         0.143,  939, 1568, 1147, 44.1,  60,   292, 0, 0, 0, 0, 9, 0,
RGI60-08.02107,G017120E68282N,20010820,-9999999,  17.120000000,  68.282000000, 8, 1,         0.602,  870, 1250, 1070, 20.3,  21,  1301, 0, 0, 0, 0, 9, 0,
RGI60-08.02108,G017091E68055N,20010820,-9999999,  17.091000000,  68.055000000, 8, 1,         0.318, 1074, 1265, 1143, 13.7,  53,   481, 0, 0, 0, 0, 9, 0,
RGI60-08.02109,G017060E68068N,20010820,-9999999,  17.060000000,  68.068000000, 8, 1,         0.832, 1094, 1334, 1174,  9.6, 126,  1411, 0, 0, 0, 0, 9, 0,
RGI60-08.02110,G017493E68294N,20010820,-9999999,  17.493000000,  68.294000000, 8, 1,         0.059, 1113, 1222, 1193, 23.4,  40,   334, 0, 0, 0, 0, 9, 0,
