RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-11.02452,G006919E46167N,20030799,20030999,   6.919180000,  46.167300000,11, 1,         0.026, 2312, 2480, 2355, 31.0, 319,   160, 0, 0, 0, 0, 9, 9,
RGI60-11.02453,G010897E46169N,20030799,20030999,  10.897300000,  46.169300000,11, 1,         0.037, 2611, 2821, 2732, 36.5, 310,   301, 0, 0, 0, 0, 9, 9,
RGI60-11.02454,G010432E46173N,20030799,20030999,  10.432300000,  46.172900000,11, 1,         0.110, 2679, 3086, 2864, 38.3, 339,   541, 0, 0, 0, 0, 9, 9,
RGI60-11.02455,G010439E46174N,20030799,20030999,  10.438900000,  46.173600000,11, 1,         0.016, 3094, 3185, 3129, 37.1, 289,   135, 0, 0, 0, 0, 9, 9,
RGI60-11.02456,G010436E46173N,20030799,20030999,  10.436400000,  46.173400000,11, 1,         0.014, 2914, 3053, 2988, 42.2, 290,   160, 0, 0, 0, 0, 9, 9,
RGI60-11.02457,G007985E46177N,20030799,20030999,   7.985180000,  46.176700000,11, 1,         0.156, 2937, 3177, 3071, 21.7, 278,   626, 0, 0, 0, 0, 9, 9,
RGI60-11.02458,G008023E46174N,20030799,20030999,   8.023190000,  46.174200000,11, 1,         0.289, 2739, 3095, 2861, 27.5,  49,   815, 0, 0, 0, 0, 9, 9,
RGI60-11.02459,G007736E46173N,20030799,20030999,   7.735780000,  46.173000000,11, 1,         0.102, 3090, 3287, 3151, 20.5, 329,   540, 0, 0, 0, 0, 9, 9,
RGI60-11.02460,G010576E46154N,20030799,20030999,  10.575700000,  46.154100000,11, 1,         6.752, 2635, 3376, 2970, 13.2,  23,  3505, 0, 0, 0, 0, 9, 9,
RGI60-11.02461,G007745E46173N,20030799,20030999,   7.745290000,  46.172700000,11, 1,         0.012, 3219, 3243, 3235, 11.5, 282,    -9, 0, 0, 0, 0, 9, 9,
RGI60-11.02462,G010874E46164N,20030799,20030999,  10.874400000,  46.164000000,11, 1,         0.024, 2290, 2396, 2313, 30.4,  38,   158, 0, 0, 0, 0, 9, 9,
RGI60-11.02463,G007989E46173N,20030799,20030999,   7.988710000,  46.172500000,11, 1,         0.256, 3048, 3586, 3289, 28.4, 277,  1067, 0, 0, 0, 0, 9, 9,
RGI60-11.02464,G007995E46168N,20030799,20030999,   7.994750000,  46.168400000,11, 1,         1.136, 2847, 3937, 3301, 24.0, 288,  2678, 0, 0, 0, 0, 9, 9,
RGI60-11.02465,G010509E46164N,20030799,20030999,  10.508900000,  46.164100000,11, 1,         0.405, 2756, 3207, 2995, 29.0, 294,   822, 0, 0, 0, 0, 9, 9,
RGI60-11.02466,G008006E46173N,20030799,20030999,   8.005770000,  46.173200000,11, 1,         0.019, 3218, 3520, 3299, 48.7,  13,   236, 0, 0, 0, 0, 9, 9,
