RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-07.01359,G011153E78561N,20060720,-9999999,  11.153200000,  78.560700000, 7, 1,         2.518,  114,  385,  239, 14.6,  39,  2386, 0, 0, 0, 0, 0, 9,Magdabreen
RGI60-07.01360,G011308E78503N,20060720,-9999999,  11.308000000,  78.503300000, 7, 1,         0.629,  275,  467,  342, 12.6, 263,  1370, 0, 0, 0, 0, 0, 9,Tritoppbreane
RGI60-07.01361,G011295E78494N,20060720,-9999999,  11.295400000,  78.493900000, 7, 1,         0.648,  220,  504,  306, 14.5, 303,  1871, 0, 0, 0, 0, 0, 9,Tritoppbreane
RGI60-07.01362,G011486E78470N,20060720,-9999999,  11.485500000,  78.470300000, 7, 1,         2.399,  105,  493,  187, 14.7,  53,  2597, 0, 0, 0, 0, 0, 9,Midtre Geikiebreen
RGI60-07.01363,G011487E78457N,20060720,-9999999,  11.487000000,  78.457300000, 7, 1,         2.085,  126,  638,  339, 15.8,  81,  3135, 0, 0, 0, 0, 0, 9,Archibald Geikiebreen
RGI60-07.01364,G017511E79303N,20020712,-9999999,  17.510700000,  79.303100000, 7, 1,         5.735,  439,  902,  748, 12.2,  45,  3857, 0, 0, 0, 0, 0, 9,
RGI60-07.01365,G017692E79460N,20020712,-9999999,  17.691800000,  79.459800000, 7, 1,         0.407,  363,  622,  548, 19.8,  59,   859, 0, 0, 0, 0, 0, 9,
RGI60-07.01366,G017571E79431N,20020712,-9999999,  17.570800000,  79.431400000, 7, 1,        21.099,  165,  854,  744,  8.9,  31,  6866, 0, 0, 0, 0, 0, 9,Bivrastfonna
RGI60-07.01367,G017181E79449N,20020712,-9999999,  17.181300000,  79.449300000, 7, 1,         0.255,  511,  659,  610, 18.2, 101,   603, 0, 0, 0, 0, 0, 9,
RGI60-07.01368,G017147E79436N,20020712,-9999999,  17.147400000,  79.435800000, 7, 1,         0.342,  523,  718,  647, 18.2,  49,   941, 0, 0, 0, 0, 0, 9,
RGI60-07.01369,G017532E79446N,20020712,-9999999,  17.532200000,  79.446100000, 7, 1,         4.839,  456,  853,  742,  8.9, 322,  5326, 0, 0, 0, 0, 0, 9,
RGI60-07.01370,G011564E78445N,20060720,-9999999,  11.564400000,  78.445000000, 7, 1,         1.923,  123,  551,  198, 17.7,  27,  1757, 0, 0, 0, 0, 0, 9,Archibald Geikiebreen
RGI60-07.01371,G011468E78488N,20060720,-9999999,  11.468000000,  78.487700000, 7, 1,         0.571,  105,  317,  192, 16.3,   0,  1436, 0, 0, 0, 0, 0, 9,James Geikiebreen
RGI60-07.01372,G011428E78490N,20060720,-9999999,  11.427500000,  78.490100000, 7, 1,         1.390,   99,  317,  176, 14.7,  22,  1653, 0, 0, 0, 0, 0, 9,James Geikiebreen
RGI60-07.01373,G010914E78738N,20090801,-9999999,  10.913700000,  78.737500000, 7, 1,         0.182,  385,  615,  512, 22.9, 143,   587, 0, 0, 0, 0, 0, 9,
RGI60-07.01374,G016318E78067N,20040713,-9999999,  16.317900000,  78.067400000, 7, 1,         2.820,  277,  823,  593, 14.3, 117,  2959, 0, 0, 0, 0, 0, 9,Kokbreen Rugaasfonna
RGI60-07.01375,G016319E78108N,20040713,-9999999,  16.319300000,  78.107800000, 7, 1,         3.935,  300,  965,  571, 12.5, 346,  4292, 0, 0, 0, 0, 0, 9,Foxbreen
RGI60-07.01376,G016221E78083N,20040713,-9999999,  16.220900000,  78.082700000, 7, 1,         5.640,  348,  967,  611, 12.1, 274,  3978, 0, 0, 0, 0, 1, 0,Plogbreen
RGI60-07.01377,G016166E78070N,20040713,-9999999,  16.165800000,  78.070100000, 7, 1,         0.637,  409,  915,  652, 21.0, 328,  1614, 0, 0, 0, 0, 0, 9,Plogbreen
RGI60-07.01378,G022842E77361N,20050724,-9999999,  22.841800000,  77.361300000, 7, 1,         4.597,  274,  480,  401,  8.8, 195,  2015, 0, 0, 0, 0, 0, 9,
RGI60-07.01379,G022812E77382N,20050724,-9999999,  22.811800000,  77.382400000, 7, 1,         0.509,  212,  443,  366, 12.5, 345,  1485, 0, 0, 0, 0, 0, 9,
RGI60-07.01380,G022907E77411N,20050724,-9999999,  22.906900000,  77.410800000, 7, 1,         1.526,  129,  389,  308, 11.6, 292,  2617, 0, 0, 0, 0, 0, 9,
RGI60-07.01381,G023132E77456N,20050724,-9999999,  23.132000000,  77.456400000, 7, 1,         0.428,  220,  350,  261, 17.6, 194,   755, 0, 0, 0, 0, 0, 9,
RGI60-07.01382,G017588E79333N,20020712,-9999999,  17.587600000,  79.332700000, 7, 1,         0.368,  265,  680,  587, 22.2,   8,  1555, 0, 0, 0, 0, 0, 9,
RGI60-07.01383,G017629E79321N,20020712,-9999999,  17.629100000,  79.321400000, 7, 1,         0.344,  680,  745,  706, 11.7,  48,   359, 0, 0, 0, 0, 0, 9,
RGI60-07.01384,G017698E79473N,20020712,-9999999,  17.698300000,  79.472900000, 7, 1,         0.450,  406,  555,  548,  9.8, 336,  1442, 0, 0, 0, 0, 0, 9,
RGI60-07.01385,G017654E79480N,20020712,-9999999,  17.654100000,  79.479500000, 7, 1,         0.182,  378,  502,  447, 18.3,  47,   730, 0, 0, 0, 0, 0, 9,
RGI60-07.01386,G015070E78925N,20020713,-9999999,  15.069600000,  78.924800000, 7, 1,         0.155,  490,  710,  543, 13.8, 309,   981, 0, 0, 0, 0, 0, 9,
RGI60-07.01387,G015560E78953N,20020713,-9999999,  15.559900000,  78.952700000, 7, 1,         2.333,  544,  992,  740, 14.3, 192,  2977, 0, 0, 0, 0, 0, 9,Fyrisbreen
RGI60-07.01388,G014290E77545N,20050723,-9999999,  14.289900000,  77.544600000, 7, 1,         2.219,  244,  754,  412, 15.0,  14,  2512, 0, 0, 0, 0, 0, 9,Blomlibreen
RGI60-07.01389,G014161E77519N,20050723,-9999999,  14.161000000,  77.519400000, 7, 1,         1.043,  265,  580,  398, 16.5,  16,  2061, 0, 0, 0, 0, 0, 9,Ringarbreane
RGI60-07.01390,G014241E77536N,20050723,-9999999,  14.240900000,  77.535600000, 7, 1,         0.699,  327,  603,  424, 16.8, 357,  1561, 0, 0, 0, 0, 1, 0,Tjoerndalsbreen
RGI60-07.01391,G014200E77520N,20050723,-9999999,  14.199800000,  77.519800000, 7, 1,         0.754,  283,  576,  387, 17.4, 356,  1308, 0, 0, 0, 0, 0, 9,Ringarbreane
RGI60-07.01392,G014114E77527N,20050723,-9999999,  14.114100000,  77.526500000, 7, 1,         0.966,  256,  638,  369, 17.6,  18,  1877, 0, 0, 0, 0, 0, 9,Ringarbreane
RGI60-07.01393,G014086E77532N,20050723,-9999999,  14.085500000,  77.531800000, 7, 1,         0.161,  328,  457,  359, 21.5,   4,   590, 0, 0, 0, 0, 0, 9,
RGI60-07.01394,G032471E80184N,20070715,-9999999,  32.470600000,  80.184300000, 7, 1,       645.801,    0,  408,  237, 11.1,   4, 19098, 0, 0, 0, 1, 0, 9,Kvitøyjøkulen
RGI60-07.01395,G016685E76964N,20080901,-9999999,  16.685300000,  76.964300000, 7, 1,         1.996,  183,  503,  246, 14.0, 303,  2969, 0, 0, 0, 0, 0, 9,Mendelejevbreen
RGI60-07.01396,G016609E76922N,20080901,-9999999,  16.609100000,  76.921800000, 7, 1,        36.645,  148,  651,  278,  9.6, 337, 10988, 0, 0, 0, 1, 3, 0,Mendelejevbreen
RGI60-07.01397,G017450E77364N,20080901,-9999999,  17.449600000,  77.363800000, 7, 1,         0.120,  257,  397,  310, 22.4, 276,   352, 0, 0, 0, 0, 0, 9,Jemelianovbreen
RGI60-07.01398,G017493E77366N,20080901,-9999999,  17.493200000,  77.365700000, 7, 1,         0.475,  146,  385,  237, 18.8, 349,  1070, 0, 0, 0, 0, 0, 9,Jemelianovbreen
RGI60-07.01399,G017425E77433N,20080901,-9999999,  17.424800000,  77.432600000, 7, 1,         0.365,  208,  460,  339, 16.7, 150,  1260, 0, 0, 0, 0, 0, 9,
RGI60-07.01400,G016801E77409N,20080901,-9999999,  16.800900000,  77.408900000, 7, 1,         0.191,  440,  533,  511, 11.7, 334,   461, 0, 0, 0, 0, 0, 9,Liestølbreen
RGI60-07.01401,G016596E77419N,20080901,-9999999,  16.595800000,  77.419300000, 7, 1,         0.294,  319,  587,  400, 21.1, 325,   831, 0, 0, 0, 0, 0, 9,Liestølbreen
RGI60-07.01402,G015601E77635N,20080901,-9999999,  15.600800000,  77.634700000, 7, 1,         0.527,  463,  690,  555, 15.6, 103,  1278, 0, 0, 0, 0, 0, 9,Martinbreen
RGI60-07.01403,G018060E78132N,20080901,-9999999,  18.059700000,  78.132200000, 7, 1,         1.581,  114,  151,  148,  6.8, 146,  1133, 0, 0, 0, 0, 0, 9,Elfenbeinbreen
RGI60-07.01404,G017984E79228N,20080607,-9999999,  17.984100000,  79.227700000, 7, 1,         0.206,  609,  731,  665, 19.7, 132,   280, 0, 0, 0, 0, 0, 9,Chydeniusbreen
RGI60-07.01405,G018696E79304N,20080607,-9999999,  18.696000000,  79.303800000, 7, 1,         0.321,  241,  352,  298, 10.6, 100,   656, 0, 0, 0, 0, 0, 9,Kosterbreen
RGI60-07.01406,G015880E77075N,20080901,-9999999,  15.880300000,  77.075100000, 7, 1,         0.230,  134,  483,  248, 24.8, 239,   806, 0, 0, 0, 0, 0, 9,Paierlbreen
RGI60-07.01407,G016996E78492N,20030712,-9999999,  16.996300000,  78.491600000, 7, 1,         0.311,  411,  850,  571, 24.5, 297,  1081, 0, 0, 0, 0, 0, 9,
RGI60-07.01408,G015890E78811N,20020713,-9999999,  15.889500000,  78.811300000, 7, 1,         0.396,  542,  937,  730, 22.8, 345,  1026, 0, 0, 0, 0, 0, 9,
RGI60-07.01409,G014896E78805N,20080806,-9999999,  14.895900000,  78.805300000, 7, 1,         2.339,  299,  674,  444, 13.1,  39,  2930, 0, 0, 0, 0, 0, 9,
RGI60-07.01410,G014974E78709N,20070901,-9999999,  14.973900000,  78.709000000, 7, 1,         0.579,  405,  758,  531, 20.3,   3,  1216, 0, 0, 0, 0, 0, 9,
RGI60-07.01411,G015051E78679N,20020713,-9999999,  15.051400000,  78.679400000, 7, 1,         0.736,  350,  720,  636, 16.4,  73,  1450, 0, 0, 0, 0, 0, 9,
RGI60-07.01412,G014500E78911N,20020713,-9999999,  14.500300000,  78.911100000, 7, 1,         0.935,  636, 1036,  817, 18.3, 244,  1453, 0, 0, 0, 0, 0, 9,
RGI60-07.01413,G011902E78795N,20090801,-9999999,  11.902400000,  78.795400000, 7, 1,         0.431,  302,  530,  396, 18.2, 336,  1000, 0, 0, 0, 0, 0, 9,
RGI60-07.01414,G018811E78072N,20080901,-9999999,  18.811400000,  78.071700000, 7, 1,         0.713,  182,  483,  401, 13.4, 219,  1653, 0, 0, 0, 0, 0, 9,
RGI60-07.01415,G018784E78058N,20080901,-9999999,  18.783700000,  78.058200000, 7, 1,         0.054,  100,  179,  148, 13.0, 248,   450, 0, 0, 0, 0, 0, 9,
RGI60-07.01416,G014353E77904N,20030712,-9999999,  14.352900000,  77.903800000, 7, 1,         8.420,  143,  618,  324,  8.4, 359,  6765, 0, 0, 0, 0, 0, 9,Grønfjordbreane
RGI60-07.01417,G014141E77945N,20030712,-9999999,  14.141200000,  77.944500000, 7, 1,         5.943,  234,  663,  338, 11.9,  69,  2642, 0, 0, 0, 0, 0, 9,Grønfjordbreane
RGI60-07.01418,G015499E78019N,20040713,-9999999,  15.498600000,  78.018900000, 7, 1,         0.607,  438,  991,  632, 20.8,  20,  1531, 0, 0, 0, 0, 0, 9,Medalsbreen
RGI60-07.01419,G015561E77609N,20080901,-9999999,  15.561300000,  77.608500000, 7, 1,         0.673,  437,  694,  540, 14.2, 104,  1256, 0, 0, 0, 0, 0, 9,Carpentierbreen
RGI60-07.01420,G014530E77265N,20080901,-9999999,  14.529500000,  77.265000000, 7, 1,         0.316,  271,  444,  334, 18.4, 355,   720, 0, 0, 0, 0, 0, 9,Vestre Torrellbreen
RGI60-07.01421,G015947E76880N,20080901,-9999999,  15.947200000,  76.880000000, 7, 1,         0.284,  323,  467,  390, 18.9, 321,   867, 0, 0, 0, 0, 0, 9,Goesbreen
RGI60-07.01422,G015937E76891N,20080901,-9999999,  15.937200000,  76.891200000, 7, 1,         0.376,  140,  241,  198, 12.6, 310,   774, 0, 0, 0, 0, 0, 9,Goesbreen
RGI60-07.01423,G016010E76896N,20080901,-9999999,  16.009500000,  76.896100000, 7, 1,         0.453,  347,  470,  413, 12.6, 226,  1011, 0, 0, 0, 0, 0, 9,Goesbreen
RGI60-07.01424,G016468E76963N,20080901,-9999999,  16.468300000,  76.962500000, 7, 1,         0.295,  215,  418,  281, 20.4,  74,   880, 0, 0, 0, 0, 0, 9,Mendelejevbreen
